"Name"	"time"	"Stream"	"avg_mgL"	"std_mgL"	"Std_p"	"ion"	"mw"	"mM"	"Recovery"	"plot"
"ID:4A"	1	"Feed"	174.538438617402	0.0498654960908243	0.000285699221820887	"Cl"	35.45	4.92351025719045	10.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.33333333333333	"Feed"	172.84147794994	0.0632097837771058	0.000365709576930446	"Cl"	35.45	4.87564112693767	13.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.66666666666667	"Feed"	169.192292411601	0.199461984363297	0.00117890703837772	"Cl"	35.45	4.77270218368409	17	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2	"Feed"	169.559793404847	0.0337118846811057	0.000198820038666914	"Cl"	35.45	4.78306892538355	20.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.33333333333333	"Feed"	168.870480731029	0.193843336916463	0.00114788171430157	"Cl"	35.45	4.76362428014186	23.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.66666666666667	"Feed"	170.653357171236	0.0561864744685429	0.000329243299984803	"Cl"	35.45	4.81391698649466	27.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3	"Feed"	173.847139451728	10.0356066710117	0.0577266137519522	"Cl"	35.45	4.90400957550714	30.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.33333333333333	"Feed"	168.083829956297	7.64416985144457	0.0454783178931138	"Cl"	35.45	4.74143384926085	34	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.66666666666667	"Feed"	165.797377830751	0.0674237693622314	0.000406663665278584	"Cl"	35.45	4.67693590495771	37.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	4	"Feed"	169.855780691299	0.262671768140403	0.0015464399684918	"Cl"	35.45	4.79141835518474	40.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	4.5	"Feed"	166.805522447358	0.0646144456388143	0.000387363947492841	"Cl"	35.45	4.70537439907921	45.9	"Ca, Cl, SiO2, SO4 "
"ID:4A"	5	"Feed"	164.322407628129	0.153108142926774	0.000931754501025004	"Cl"	35.45	4.63532884705582	51	"Ca, Cl, SiO2, SO4 "
