"Name"	"Time"	"Stream"	"Recovery"	"ion"	"Value"	"Std"	"plot"
"ID:2 - pH 10.2"	6.5	"Feed"	78	"SO4"	2.85161019858084	0.00408137408543597	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6.5	"Permeate"	78	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	0	"Feed"	0	"SO4"	0.718737163146907	0.000858088908683867	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Feed"	25.5	"SO4"	1.00088064329164	0.00129202751422048	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Permeate"	25.5	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Feed"	40.8	"SO4"	1.2777768399255	0.000467096849842482	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Permeate"	40.8	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Feed"	51	"SO4"	1.47979022120184	0.00551219279943891	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Permeate"	51	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Feed"	61.2	"SO4"	1.75319760735126	0.00232628910962078	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Permeate"	61.2	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Feed"	71.4	"SO4"	2.22770396880328	0.000580492447691907	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Permeate"	71.4	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Feed"	81.6	"SO4"	3.0284422461187	0.00831020860017168	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Permeate"	81.6	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	0	"Feed"	0	"Ca"	0.197176481470888	0.00796759551601538	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	3.5	"Feed"	35.7	"Ca"	0.604338381039667	0.00418192367633751	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	3.5	"Permeate"	35.7	"Ca"	0.130716840449934	0.000522544177643045	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	5	"Feed"	51	"Ca"	0.718903983148462	0.025748560600569	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	5	"Permeate"	51	"Ca"	0.147138554074298	0.0199616541432653	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	6	"Feed"	61.2	"Ca"	0.845930767948687	0.00960874559918681	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	6	"Permeate"	61.2	"Ca"	0.146607263339392	0.0270225955780587	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Feed"	71.4	"Ca"	1.00613907410167	0.00488797567570402	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Permeate"	71.4	"Ca"	0.163125575279193	0.0100494834775136	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Feed"	81.6	"Ca"	1.15605965966056	0.0120532586346629	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Permeate"	81.6	"Ca"	0.180271776269337	0.0162927829766486	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Feed"	88.74	"Ca"	0.751022923031409	0.00818547472015502	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Permeate"	88.74	"Ca"	0.181237759423711	0.00942206029723034	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	0	"Feed"	0	"Ca"	0.0821303055411203	0.00497845656784705	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Feed"	36	"Ca"	0.259555666373322	0.00367573701790131	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Permeate"	36	"Ca"	0.0481101250013227	0.0651580767920297	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	4	"Feed"	48	"Ca"	0.293672221362241	0.000928205278533154	"Ca, Cl, SiO2, SO4 "
