"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:6B"	4	"Perm spand"	"SO4"	12.998	0.249375095011474	96.06	0.135311263793462	8.5	48	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Feed"	"SO4"	20.627	0.000822735383161768	96.06	0.214730376847803	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Permeate"	"SO4"	9.414	0.00105157158876274	96.06	0.098001249219238	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Feed"	"SO4"	41.241	0.135759838351036	96.06	0.429325421611493	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Permeate"	"SO4"	16.045	0.0343747765238708	96.06	0.167031022277743	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	0	"Feed"	"SO4"	16.26775	0.010584161990375	96.06	0.169349885488237	8.45	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	2	"Perm spand"	"SO4"	2.0069	0.0966110316415125	96.06	0.0208921507391214	8.45	24.1420118343195	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	4	"Perm spand"	"SO4"	13.9215	0.0761886414380506	96.06	0.144925046845721	8.45	48.2840236686391	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Feed"	"SO4"	20.8765	0.00138870874086395	96.06	0.217327711846762	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Permeate"	"SO4"	8.35	0.00406480544873704	96.06	0.0869248386425151	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Feed"	"SO4"	42.9435	0.00024698968919158	96.06	0.447048719550281	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Permeate"	"SO4"	13.3075	0.00345383736818535	96.06	0.13853320841141	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"CT vand"	"Ca"	18.354	0.0092462475473886	40.078	0.457956983881431	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"Feed"	"Ca"	17.368	0.0059441265576482	40.078	0.433354957832227	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	2	"Perm spand"	"Ca"	4.0755	0.0244637605563252	40.078	0.101689206048206	10	20.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	4	"Perm spand"	"Ca"	4.668	0.0278722467305752	40.078	0.116472877888118	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Feed"	"Ca"	19.723	0.000788741529488692	40.078	0.492115375018713	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Permeate"	"Ca"	3.7025	0.0334216574497355	40.078	0.0923823544089026	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Feed"	"Ca"	27.0725	0.0293838813864574	40.078	0.675495284195818	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Permeate"	"Ca"	4.0315	0.0608622232597624	40.078	0.100591346873596	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	0	"Feed"	"Ca"	17.779	0.00159088088460888	40.078	0.443609960576875	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	2	"Perm spand"	"Ca"	4.327	0.0349713083369359	40.078	0.107964469284894	10	20.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	4	"Perm spand"	"Ca"	4.658	0.0188237958065976	40.078	0.116223364439343	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Feed"	"Ca"	19.2755	0.0341530135812133	40.078	0.480949648186037	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Permeate"	"Ca"	3.3085	0.00833524692950737	40.078	0.082551524527172	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Feed"	"Ca"	32.0225	0.013138528684706	40.078	0.799004441339388	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Permeate"	"Ca"	4.3795	0.0056510417494073	40.078	0.109274414890963	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	0	"Feed"	"Ca"	4.081	0.0353466756584307	40.078	0.101826438445032	8.5	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	2	"Perm spand"	"Ca"	8.571	0.0252449743370767	40.078	0.213857976944957	8.5	24	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	4	"Perm spand"	"Ca"	13.5555	0.00860703175063847	40.078	0.338227955486801	8.5	48	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Feed"	"Ca"	19.743	0.00780779406871637	40.078	0.492614401916263	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Permeate"	"Ca"	7.483	0.00718162707071727	40.078	0.186710913718249	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Feed"	"Ca"	34.4975	0.00194724673419005	40.078	0.860759019911173	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Permeate"	"Ca"	12.3575	0.00932700022928646	40.078	0.308336244323569	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	0	"Feed"	"Ca"	5.327	0.0703522797125718	40.078	0.132915814162383	8.45	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	2	"Perm spand"	"Ca"	7.01	0.03611187270539	40.078	0.174908927591197	8.45	24.1420118343195	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	4	"Perm spand"	"Ca"	11.6765	0.104947206080271	40.078	0.291344378461999	8.45	48.2840236686391	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Feed"	"Ca"	20.5825	0.00202693064933825	40.078	0.513561055940915	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Permeate"	"Ca"	6.5915	0.00354009311676488	40.078	0.164466789759968	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Feed"	"Ca"	39.364	0.0177836529157271	40.078	0.982184739757473	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Permeate"	"Ca"	11.137	0.00444441722933093	40.078	0.277883127900594	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"CT vand"	"Na"	334.025	0.00230745121321254	22.99	14.5291431056981	10	0	"Na"
"ID:6A"	0	"Feed"	"Na"	398.17	0.00962533278255795	22.99	17.3192692474989	10	0	"Na"
"ID:6A"	2	"Perm spand"	"Na"	180.88	0.00250192580694052	22.99	7.86776859504132	10	20.4	"Na"
"ID:6A"	4	"Perm spand"	"Na"	262.0075	0.00735423977837794	22.99	11.3965854719443	10	40.8	"Na"
"ID:6A"	1.5	"Feed"	"Na"	438.42	0.0155317693144164	22.99	19.0700304480209	10	15.3	"Na"
"ID:6A"	1.5	"Permeate"	"Na"	159.215	0.0126130280348572	22.99	6.92540234884733	10	15.3	"Na"
"ID:6A"	7	"Feed"	"Na"	797.54	0.0168101218387754	22.99	34.6907351022184	10	71.4	"Na"
"ID:6A"	7	"Permeate"	"Na"	241.545	0.002078477362986	22.99	10.5065245759026	10	71.4	"Na"
"ID:7A"	0	"Feed"	"Na"	266.0275	0.00426612430596228	22.99	11.5714441061331	10	0	"Na"
"ID:7A"	2	"Perm spand"	"Na"	154.515	0.00324917201981979	22.99	6.72096563723358	10	20.4	"Na"
"ID:7A"	4	"Perm spand"	"Na"	211.9	0.00273632638307203	22.99	9.21705089169204	10	40.8	"Na"
"ID:7A"	1.5	"Feed"	"Na"	348.995	0.000871232871273859	22.99	15.1802957807743	10	15.3	"Na"
"ID:7A"	1.5	"Permeate"	"Na"	139.3825	0.00200388986112814	22.99	6.06274467159635	10	15.3	"Na"
"ID:7A"	7	"Feed"	"Na"	577.73	0.000342703163644287	22.99	25.1296215745977	10	71.4	"Na"
"ID:7A"	7	"Permeate"	"Na"	208.5825	0.00778018320244085	22.99	9.07274902131361	10	71.4	"Na"
"ID:6B"	0	"Feed"	"Na"	205.005	0.00910593352519439	22.99	8.91713788603741	8.5	0	"Na"
"ID:6B"	2	"Perm spand"	"Na"	126.135	0.0183875232274299	22.99	5.48651587646803	8.5	24	"Na"
"ID:6B"	4	"Perm spand"	"Na"	177.61	0.0127399453848147	22.99	7.72553284036538	8.5	48	"Na"
"ID:6B"	1.5	"Feed"	"Na"	190.8675	0.00531624415368094	22.99	8.30219660722053	8.5	18	"Na"
"ID:6B"	1.5	"Permeate"	"Na"	113.7	0.000932858550377978	22.99	4.94562853414528	8.5	18	"Na"
